央视频CCTV,#genre#
199TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284
200TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285
201經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
202經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
203兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=269
204精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
205戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
206戲劇免費看 2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=244
208電影免費看 2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=245
209超人力霸王整套看,https://www.4gtv.tv/channel/4gtv-live015?set=1&ch=278
210花系列 經典劇場,https://www.4gtv.tv/channel/4gtv-live016?set=1&ch=279

litv(翻),#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
1 頻道表,https://www.litv.tv/channel/watch/litv-vchannel1
2 LiTV 精采預告,https://www.litv.tv/channel/watch/litv-vchannel2
4 民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003
5 民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001
6 民視,https://www.litv.tv/channel/watch/4gtv-4gtv155
7 綜藝大集合,https://www.litv.tv/channel/watch/litv-vchannel7
8 台視,https://www.litv.tv/channel/watch/4gtv-4gtv066
9 包青天 1993版,https://www.litv.tv/channel/watch/litv-vchannel9
10 中視,https://www.litv.tv/channel/watch/4gtv-4gtv040
11 天才衝衝衝 精選,https://www.litv.tv/channel/watch/litv-vchannel11
12 華視,https://www.litv.tv/channel/watch/4gtv-4gtv041
13 公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042
14 向風而行,https://www.litv.tv/channel/watch/litv-vchannel14
15 好消息,https://www.litv.tv/channel/watch/litv-ftv16
16 空中英語教室HD頻道,https://www.litv.tv/channel/watch/litv-playout955
17 哆啦Ａ夢台,https://www.litv.tv/channel/watch/litv-vchannel17
18 全民星攻略,https://www.litv.tv/channel/watch/litv-vchannel18
20 食尚玩家-來去住一晚,https://www.litv.tv/channel/watch/litv-vchannel20
21 最強綜藝秀,https://www.litv.tv/channel/watch/litv-vchannel21
22 去有風的地方,https://www.litv.tv/channel/watch/litv-vchannel22
23 台灣1001個故事,https://www.litv.tv/channel/watch/litv-vchannel23
25 台灣啟示錄,https://www.litv.tv/channel/watch/litv-vchannel25
26 WTO姐妹會,https://www.litv.tv/channel/watch/litv-vchannel26
27 民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004
28 世界第一等,https://www.litv.tv/channel/watch/litv-vchannel28
29 綜藝玩很大,https://www.litv.tv/channel/watch/litv-vchannel29
30 詹姆士出走料理,https://www.litv.tv/channel/watch/litv-vchannel30
31 Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-playout952
32 東森娛樂台,https://www.litv.tv/channel/watch/litv-vchannel32
33 健康2.0,https://www.litv.tv/channel/watch/litv-vchannel33
34 亞洲旅遊台,https://www.litv.tv/channel/watch/litv-longturn17
35 琅琊榜,https://www.litv.tv/channel/watch/litv-vchannel35
36 中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109
37 小明星大跟班,https://www.litv.tv/channel/watch/litv-vchannel37
39 龍華戲劇台,https://www.litv.tv/channel/watch/litv-longturn18
40 TVBS精采台,https://www.litv.tv/channel/watch/4gtv-4gtv067
